tokens,labels
"['Im', 'Jahr', '1952', 'hat', 'ein', 'Architekt', 'neue', 'Straßen', 'geplant.']","[1, 1, 1, 2, 0, 2, 2, 2, 2]"
"['Ab', 'dem', 'Jahr', '1970', 'waren', 'Bau-arbeiter', 'in', 'der', 'Alt-stadt.']","[1, 1, 1, 1, 0, 2, 2, 2, 2]"
"['Sie', 'haben', 'viele', 'alte', 'Häuser', 'abgerissen.']","[1, 1, 2, 2, 1, 1]"
"['Und', 'neue,', 'moderne', 'Wohn-blöcke', 'gebaut.']","[0, 0, 1, 2, 0]"
"['Im', 'Jahr', '1986', 'hat', 'die', 'UNESCO', 'gesagt:', '\\newline', 'Die', 'Alt-stadt', 'von', 'Aleppo', 'ist', 'jetzt', 'Welt-kultur-erbe.']","[1, 1, 1, 2, 0, 2, 2, 0, 0, 3, 3, 3, 3, 4, 3]"
"['In', 'Syrien', 'ist', 'Bürger-krieg.']","[0, 0, 0, 0]"
"['Viele', 'Stadt-teile', 'sind', 'kaputt.']","[0, 0, 0, 0]"
"['Viele', 'Bewohner', 'sind', 'geflüchtet.']","[0, 0, 0, 0]"
"['Aleppo', 'ist', 'eine', 'Stadt', 'in', 'Syrien.']","[1, 1, 0, 1, 2, 2]"
"['Aleppo', 'ist', 'die', 'zweit-größte', 'Stadt', 'in', 'Syrien.']","[0, 0, 0, 1, 1, 2, 2]"
"['Die', 'größte', 'Stadt', 'in', 'Syrien', 'ist', 'Damaskus.']","[0, 2, 0, 3, 3, 1, 1]"
"['Der', 'Mann', 'Ali', 'ibn', 'Abi', 'Talib', 'ist', 'den', 'Aleviten', 'sehr', 'wichtig.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Dieser', 'Mann', 'ist', 'der', 'Schwieger-sohn', 'von', 'Mohammed.']","[0, 0, 0, 0, 0, 0, 0]"
"['Die', 'Religion', 'der', 'Aleviten', 'ist', 'etwas', 'anders', 'als', 'die', 'der', 'meisten', 'Muslime.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Zum', 'Beispiel', 'tragen', 'die', 'meisten', 'alevitischen', 'Frauen', 'kein', 'Kopftuch.']","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Ungefähr', 'ein', 'Drittel', 'der', 'Menschen', 'in', 'der', 'Türkei', 'sind', 'Aleviten.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Die', 'Aleviten', 'sind', 'eine', 'Religions-gemeinschaft.']","[0, 0, 0, 0, 0]"
"['Eine', 'Religions-gemeinschaft', 'sind', 'mehrere', 'Menschen.']","[0, 0, 0, 0, 0]"
"['Sie', 'haben', 'eine', 'bestimmte', 'Religion.']","[0, 0, 0, 0, 0]"
"['Die', 'Religions-gemeinschaft', 'der', 'Aleviten', 'kommt', 'aus', 'der', 'Türkei.']","[0, 0, 0, 0, 0, 0, 0, 0]"
"['Einige', 'Aleviten', 'sehen', 'sich', 'als', 'Muslime.']","[0, 0, 0, 0, 0, 0]"
"['Andere', 'Aleviten', 'sehen', 'sich', 'nicht', 'als', 'Muslime.']","[0, 0, 0, 0, 0, 0, 0]"
"['Er', 'ist', 'auf', 'einen', 'sehr', 'großen', 'Berg', 'geklettert.']","[2, 2, 2, 0, 1, 1, 0, 2]"
"['Der', 'Berg', 'heißt:', 'El', 'Capitan.']","[0, 0, 0, 0, 0]"
"['Die', 'Kletter-route', 'ist', 'fast', '1000', 'Meter', 'lang.']","[0, 0, 0, 0, 0, 0, 0]"
"['Über', 'Alex', 'Honnold', 'gibt', 'es', 'einen', 'Film.']","[0, 0, 0, 0, 0, 0, 0]"
"['Er', 'heißt:', 'Free', 'Solo.']","[0, 0, 0, 0]"
"['Alex', 'Honnold', 'ist', 'ein', 'bekannter', 'Free', 'Solo', 'Kletterer.']","[0, 0, 0, 0, 1, 2, 2, 2]"
"['Er', 'ist', 'am', '17.', 'August', '1985', 'geboren.']","[0, 0, 0, 0, 0, 0, 0]"
"['Alexander', 'Graham', 'Bell', 'kommt', 'am', '3.', 'März', '1847', 'auf', 'die', 'Welt.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Er', 'stirbt', 'am', '2.', 'August', '1922.', '\\newline', 'In', 'Baddeck,', 'Kanada.']","[0, 0, 1, 1, 1, 1, 0, 2, 2, 3]"
"['Der', 'Groß-vater', 'von', 'Alexander', 'Graham', 'Bell', 'hat', 'sich', 'mit', 'Sprech-technik', 'beschäftigt.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Der', 'Vater', 'von', 'Bell', 'heißt', 'Alexander', 'Melville', 'Bell.']","[0, 0, 0, 0, 0, 0, 0, 0]"
"['Der', 'Vater', 'von', 'Bell', 'war', 'Professor', 'für', 'Rede-kunst', 'und', 'Vortrags-kunst.']","[1, 1, 1, 1, 1, 0, 3, 2, 0, 3]"
"['Der', 'Vater', 'hat', 'eine', 'Laut-schrift', 'erfunden.']","[0, 0, 0, 0, 0, 0]"
"['Die', 'Laut-schrift', 'heißt', 'Visible', 'Speech.']","[0, 0, 0, 0, 0]"
"['Die', 'Mutter', 'von', 'Bell', 'heißt', 'Eliza', 'Symonds', 'Bell.']","[0, 0, 0, 0, 0, 0, 0, 0]"
"['Die', 'Mutter', 'war', 'stark', 'schwerhörig.']","[0, 0, 0, 0, 0]"
"['Bell', 'hat', 'mit', 'ihr', 'mit', 'einer', 'tiefen', 'Stimme', 'gesprochen.']","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Dann', 'konnte', 'sie', 'ihn', 'besser', 'hören.']","[0, 0, 0, 0, 0, 0]"
"['Bell', 'studiert', 'in', 'Edinburgh.']","[0, 0, 0, 0]"
"['Er', 'studiert', 'die', 'Fächer', 'Latein', 'und', 'Griechisch.']","[0, 0, 0, 0, 1, 0, 2]"
"['Mit', '17', 'Jahren', 'wird', 'Bell', 'Lehrer.']","[1, 1, 1, 2, 2, 2]"
"['In', 'seiner', 'Freizeit', 'forscht', 'er.']","[0, 0, 0, 0, 0]"
"['Er', 'forscht', 'zum', 'Thema', 'Akustik.']","[0, 0, 0, 0, 0]"
"['Sein', 'Vater', 'unterrichtet', 'in', 'einer', 'Universität', 'in', 'London.']","[0, 0, 0, 1, 0, 1, 2, 2]"
"['Dort', 'ist', 'er', 'Dozent', 'für', 'Sprach-technik.']","[0, 0, 0, 0, 0, 0]"
"['Er', 'stellt', 'seinen', 'Sohn', 'als', 'Assistenten', 'ein.']","[0, 0, 1, 1, 2, 2, 0]"
"['Seit', 'dem', 'Jahr', '1868', 'gibt', 'Alexander', 'Graham', 'Bell', 'Sprech-unterricht.']","[1, 0, 1, 1, 2, 2, 2, 2, 2]"
"['Im', 'Jahr', '1870', 'zieht', 'die', 'Familie', 'Bell', 'nach', 'Kanada.']","[1, 1, 1, 2, 0, 2, 2, 2, 2]"
"['Im', 'Jahr', '1871', 'wird', 'Bell', 'Gehörlosenlehrer.']","[1, 1, 1, 2, 2, 2]"
"['Vom', 'Jahr', '1873', 'bis', 'zum', 'Jahr', '1877', 'ist', 'Bell', 'Professor.']","[1, 1, 1, 2, 2, 2, 2, 0, 0, 0]"
"['Er', 'ist', 'Professor', 'für', 'Sprech-technik', 'und', 'Physiologie', 'der', 'Stimme.']","[0, 0, 0, 0, 1, 0, 2, 0, 2]"
"['Sie', 'haben', 'sich', 'an', 'der', 'Clarke', 'School', 'kennen', 'gelernt.']","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Alexander', 'Graham', 'Bell', 'ist', 'einer', 'der', 'Erfinder', 'vom', 'Telefon.']","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Alexander', 'Graham', 'Bell', 'war', 'ein', 'Sprach-lehrer', 'für', 'Gehörlose.']","[0, 0, 0, 0, 0, 0, 0, 0]"
"['Alexander', 'Mitscherlich', 'kommt', 'am', '20.', 'September', '1908', 'auf', 'die', 'Welt.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Er', 'stirbt', 'am', '26.', 'Juni', '1982.', '\\newline', 'In', 'Frankfurt', 'am', 'Main,', 'Deutschland.']","[0, 0, 1, 1, 1, 1, 0, 3, 2, 2, 2, 3]"
"['Alexander', 'Mitscherlich', 'war', 'ein:', '•', 'Arzt']","[0, 0, 0, 0, 0, 0]"
"['Alexander', 'Mitscherlich', 'war', 'ein:', '•', 'Psychoanalytiker']","[0, 0, 0, 0, 0, 0]"
"['Alexander', 'Mitscherlich', 'war', 'ein:', '•', 'Hochschul-lehrer']","[0, 0, 0, 0, 0, 0]"
"['Alexander', 'Mitscherlich', 'war', 'ein:', '•', 'Schriftsteller']","[0, 0, 0, 0, 0, 0]"
"['Sein', 'bekanntestes', 'Buch', 'heißt:']","[0, 0, 0, 0]"
"['Das', 'Buch', 'hat', 'er', 'zusammen', 'mit', 'seiner', 'Frau', 'Margarete', 'Mitscherlich', 'geschrieben.']","[0, 1, 1, 0, 2, 2, 2, 3, 3, 3, 1]"
"['Alexander', 'Sergejewitsch', 'Puschkin', 'kommt', 'am', '6.', 'Juni', '1799', 'auf', 'die', 'Welt.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Er', 'stirbt', 'am', '', '10.', 'Februar', '1837.', '\\newline', 'In', 'Sankt', 'Petersburg,', 'Russland.']","[0, 0, 1, 1, 1, 1, 1, 0, 3, 2, 2, 3]"
"['Alexander', 'Sergejewitsch', 'Puschkin', 'ist', 'ein:', '\\newline', 'Schrift-steller', '\\newline', 'Dichter']","[0, 0, 0, 0, 0, 0, 1, 0, 2]"
"['Alexander', 'Sutherland', 'Neill', '', 'kommt', 'am', '17.', 'Oktober', '1883', 'auf', 'die', 'Welt.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Er', 'stirbt', 'am', '23.', 'September', '1973.', '\\newline', 'In', 'Aldeburgh,', 'Suffolk,', 'England.']","[0, 0, 1, 1, 1, 1, 0, 3, 2, 2, 3]"
"['Alexander', 'Sutherland', 'Neill', 'war', 'ein', 'Pädagoge.']","[0, 0, 0, 0, 0, 0]"
"['Er', 'hat', 'die', 'Summerhill', 'Schule', 'geründet.']","[0, 0, 0, 0, 0, 0]"
"['Im', 'Jahr', '2012', 'hat', 'er', 'eine', 'neue', 'Richtung', 'der', 'Kunst', 'erfunden.']","[1, 1, 1, 2, 2, 0, 2, 2, 2, 2, 2]"
"['Diese', 'Kunst', 'ist', 'bei', 'vielen', 'Menschen', 'beliebt.']","[0, 0, 0, 0, 0, 0, 0]"
"['Er', 'ist', 'ein', 'Künstler', 'aus', 'Russland.']","[0, 0, 0, 1, 2, 2]"
"['Ein', 'Algo-rithmus', 'löst', 'eine', 'Aufgabe', 'Schritt', 'für', 'Schritt.']","[0, 1, 1, 0, 1, 2, 2, 2]"
"['Das', 'Gegenteil', 'von', 'einem', 'Algorithmus', 'ist', 'eine', 'Heuristik.']","[0, 0, 0, 0, 0, 0, 0, 0]"
"['Ein', 'Algorithmus', 'ist', 'eine', 'Reihen-folge.']","[0, 0, 0, 0, 0]"
"['Mit', 'einem', 'Algo-rithmus', 'kann', 'man', 'Probleme', 'lösen.']","[0, 0, 0, 0, 0, 0, 0]"
"['Sie', 'stirbt', 'am', '14.', 'April', '2010.', '\\newline', 'In', 'Saint-Rémy-de-Provence,', 'Provence-Alpes-Côte', ""d'Azur,"", 'Frankreich.']","[0, 0, 1, 1, 1, 1, 0, 4, 2, 3, 3, 4]"
"['Millers', 'Bücher', 'kann', 'man', 'leichter', 'verstehen.']","[0, 0, 0, 0, 0, 0]"
"['Und', 'kritisiert', 'die', 'Psychoanalyse.']","[0, 0, 0, 0]"
"['Weil', 'sie', 'die', 'Triebtheorie', 'für', 'eine', 'Illusion', 'hält.']","[0, 0, 0, 0, 0, 0, 0, 0]"
"['Miller', 'sagt:', '\\newline', '', '\\newline', 'Die', 'Triebtheorie', 'ist', 'falsch.']","[1, 1, 0, 0, 0, 0, 2, 2, 2]"
"['Ein', 'Kindheits-trauma', 'ist', 'mehr', 'als', 'kindliche', 'Fantasie.']","[0, 0, 0, 0, 0, 0, 0]"
"['Alice', 'Miller', 'ist', 'eine', 'Psychologin.']","[0, 0, 0, 0, 0]"
"['Sie', 'selbst', 'sagt', 'von', 'sich:', '\\newline', '', '\\newline', 'Ich', 'bin', 'eine', 'Kindheits-forscherin!']","[1, 1, 1, 1, 1, 0, 0, 0, 2, 2, 0, 2]"
"['Sie', 'beschreibt', 'in', 'ihren', 'Büchern', 'Kindes-misshandlung.']","[1, 1, 2, 2, 2, 1]"
"['Viele', 'Menschen', 'trinken', 'gern', 'Getränke', 'mit', 'Alkohol.']","[1, 1, 1, 1, 0, 2, 2]"
"['Das', 'kann', 'gefähr-lich', 'sein.']","[0, 0, 0, 0]"
"['Man', 'kann', 'abhängig', 'werden', 'vom', 'Alkohol.']","[1, 1, 1, 1, 2, 2]"
"['Das', 'heißt:', '', '\\newline', 'Man', 'kann', 'nicht', 'aufhören', 'mit', 'Alkohol-trinken.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Man', 'sagt', 'dazu', 'auch', 'Sucht.']","[0, 0, 0, 0, 0]"
"['Die', 'Alkohol-krankheit', 'ist', 'eine', 'Krankheit.']","[0, 0, 0, 0, 0]"
"['Menschen', 'mit', 'der', 'Alkohol-krankheit', 'nennt', 'man:', '\\newline', 'Alkoholiker.']","[0, 0, 0, 0, 0, 0, 0, 0]"
"['Ein', 'Alkoholiker', 'muss', 'regel-mäßig', 'Alkohol', 'trinken.']","[0, 1, 1, 2, 1, 1]"
"['Sonst', 'geht', 'es', 'dem', 'Alkoholiker', 'schlecht.']","[0, 0, 0, 0, 0, 0]"
"['Wenn', 'man', 'die', 'Alkohol-krankheit', 'hat', 'braucht', 'man', 'Hilfe.']","[1, 1, 0, 1, 1, 2, 2, 2]"
"['Die', 'Alkohol-krankheit', 'kann', 'man', 'heilen.']","[0, 0, 0, 0, 0]"
"['Dazu', 'muss', 'man', 'einen', 'Alkohol-entzug', 'machen.']","[0, 0, 0, 0, 0, 0]"
"['Das', 'nennt', 'man', 'auch', 'Ent-giftung.']","[0, 0, 0, 0, 0]"
"['Und', 'man', 'braucht', 'eine', 'Therapie.']","[0, 0, 0, 0, 0]"
"['Der', 'Alkoholiker', 'muss', 'lernen', 'ohne', 'Alkohol', 'zu', 'leben.']","[0, 1, 1, 1, 2, 2, 2, 2]"
"['Alkohol-krankheit', 'ist', 'eine', 'Krankheit.']","[0, 0, 0, 0]"
"['Man', 'kann', 'nicht', 'aufhören', 'mit', 'Alkohol-trinken.']","[0, 0, 0, 0, 0, 0]"
"['Alkohol', 'gehört', 'zur', 'Chemie.']","[0, 0, 0, 0]"
"['Es', 'gibt', 'viele', 'Alkohole.']","[0, 0, 0, 0]"
"['Ein', 'Alkohol', 'ist', 'Ethanol.']","[0, 0, 0, 0]"
"['Man', 'sagt', 'auch', 'dazu:', '\\newline', 'Ethyl-alkohol.']","[0, 0, 0, 0, 0, 0]"
"['Ethanol', 'ist', 'eine', 'Flüssigkeit.']","[0, 0, 0, 0]"
"['Ethanol', 'hat', 'keine', 'Farbe.']","[0, 0, 0, 0]"
"['Ethanol', 'kann', 'brennen.']","[0, 0, 0]"
"['Mit', 'Ethanol', 'kann', 'man', 'auch', 'putzen.']","[0, 0, 0, 0, 0, 0]"
"['Ethanol', 'ist', 'in', 'vielen', 'Getränken.']","[0, 0, 0, 0, 0]"
"['Viele', 'Menschen', 'trinken', 'gerne', 'Alkohol.']","[0, 0, 0, 0, 0]"
"['Aber', 'Alkohol', 'kann', 'gefährlich', 'sein.']","[0, 0, 0, 0, 0]"
"['Zu', 'viel', 'Alkohol', 'ist', 'Gift', 'für', 'den', 'Körper.']","[1, 1, 1, 1, 1, 2, 0, 2]"
"['Das', 'heißt:', '\\newline', 'Wenn', 'man', 'viel', 'davon', 'trinkt', 'wird', 'man', 'krank.']","[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2]"
"['Oft', 'wird', 'die', 'Leber', 'sehr', 'krank.']","[0, 0, 0, 0, 0, 0]"
"['Und', 'man', 'kann', 'abhängig', 'werden', 'vom', 'Alkohol.']","[0, 1, 1, 1, 1, 2, 2]"
"['Das', 'heißt:', '', '\\newline', 'Man', 'kann', 'nicht', 'aufhören', 'mit', 'Alkohol-trinken.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Das', 'nennt', 'man', 'dann', 'Sucht.']","[0, 0, 0, 0, 0]"
"['Man', 'sagt', 'dazu', 'auch', 'Alkoholkrankheit.']","[0, 0, 0, 0, 0]"
"['Wenn', 'man', 'die', 'Alkohol-krankheit', 'hat', 'braucht', 'man', 'Hilfe.']","[1, 1, 0, 1, 1, 2, 2, 2]"
"['Daher', 'soll', 'man', 'nur', 'wenig', 'Alkohol', 'trinken.']","[0, 0, 0, 0, 0, 0, 0]"
"['Am', 'besten', 'trinkt', 'man', 'gar', 'keinen', 'Alkohol.']","[0, 0, 0, 0, 0, 0, 0]"
"['Man', 'soll', 'auch', 'nicht', 'jeden', 'Tag', 'Alkohol', 'trinken.']","[1, 1, 1, 1, 2, 2, 1, 1]"
"['Und', 'man', 'soll', 'auch', 'nicht', 'allein', 'Alkohol', 'trinken.']","[0, 1, 1, 1, 1, 2, 1, 1]"
"['Manchmal', 'ist', 'es', 'besser', 'wenn', 'man', 'keinen', 'Alkohol', 'trinkt.']","[1, 1, 1, 1, 2, 2, 2, 2, 2]"
"['Kinder', 'sollen', 'keinen', 'Alkohol', 'trinken.']","[0, 0, 0, 0, 0]"
"['Alkohol', 'ist', 'eine', 'Flüssigkeit.']","[0, 0, 0, 0]"
"['Man', 'kann', 'auch', 'ein', 'alkohol-haltiges', 'Getränk', 'meinen.']","[1, 1, 1, 1, 2, 1, 1]"
"['Das', 'ist', 'ein', 'Getränk', 'mit', 'Ethanol.']","[1, 1, 0, 0, 2, 2]"
"['Eine', 'Allee', 'ist', 'lang', '', '\\newline', 'und', 'hat', 'rechts', 'und', 'links', 'Bäume.']","[0, 0, 1, 1, 0, 0, 0, 3, 2, 0, 3, 3]"
"['Eine', 'Allee', 'ist', 'eine', 'gerade', 'Straße.']","[0, 1, 1, 0, 2, 0]"
"['Das', 'Wort', 'alleinstehend', 'ist', 'ein', 'Adjektiv.']","[0, 0, 0, 0, 0, 0]"
"['Das', 'Wort', 'alleinstehend', 'bedeutet', 'alleine.']","[0, 0, 0, 0, 0]"
"['Wenn', 'die', 'Person', 'alleine', 'lebt.']","[0, 0, 0, 0, 0]"
"['Allein-unter-halter', 'spielen', 'bei', 'Festen.']","[0, 0, 0, 0]"
"['Sie', 'machen', 'eine', 'Ein-man-show.']","[0, 0, 0, 0]"
"['Alleinunterhalter', 'ist', 'ein', 'Beruf.']","[0, 0, 0, 0]"
"['Ein', 'Allein-unter-halter', 'ist', 'ein', 'Künstler.']","[0, 0, 0, 0, 0]"
"['Er', 'macht', 'alleine', 'Unterhaltung.']","[1, 1, 2, 1]"
"['Zum', 'Beispiel', 'Musik', 'spielen.']","[0, 0, 0, 0]"
"['Das', 'Sprich-wort', 'kommt', 'aus', 'einer', 'Geschichte.']","[0, 0, 0, 0, 0, 0]"
"['Diese', 'Geschichte', 'ist', 'eine', 'Metapher.']","[0, 0, 0, 0, 0]"
"['Das', 'ist', 'eine', 'Sprich-wort.']","[0, 0, 0, 0]"
"['Man', 'kann', 'nicht', 'alle', 'Wünsche', 'erfüllen.']","[0, 0, 0, 0, 0, 0]"
"['Man', 'kann', 'nicht', 'alle', 'Menschen', 'gleichzeitig', 'zufrieden', 'stellen.']","[0, 0, 0, 0, 0, 0, 0, 0]"
"['Wenn', 'man', 'seine', 'Sicht-weise', 'hat,', '\\newline', 'kann', 'man', 'nicht', 'auch', 'allen', 'anderen', 'Sicht-weisen', 'zustimmen.']","[1, 1, 1, 1, 1, 0, 2, 2, 2, 2, 2, 2, 2, 2]"
"['Das', 'Gegenteil', 'von', 'allenthalben', 'ist', 'nirgends.']","[0, 0, 0, 0, 0, 0]"
"['Wenn', 'etwas', 'oder', 'jemand', 'überall', 'ist,', '', '\\newline', 'sagt', 'man', 'dazu:', '\\newline', 'allenthalben']","[2, 1, 0, 2, 2, 2, 0, 0, 3, 3, 3, 0, 3]"
"['Dieser', 'Spruch', 'kommt', 'von', 'Ovid.']","[0, 0, 0, 0, 0]"
"['Und', 'lebte', '43', 'vor', 'Christus', 'in', 'Sulmo.']","[0, 0, 1, 1, 1, 2, 2]"
"['Es', 'liegt', '120', 'Kilometer', 'östlich', 'von', 'Rom.']","[0, 0, 0, 0, 0, 0, 0]"
"['Wenn', 'man', 'eine', 'neue', 'Arbeit', 'beginnt,', '\\newline', 'dann', 'tut', 'man', 'sich', 'immer', 'schwer.']","[1, 1, 0, 1, 1, 1, 0, 2, 2, 2, 2, 2, 2]"
"['Heilige', 'sind', 'besondere', 'Menschen.']","[1, 1, 2, 0]"
"['Zum', 'Beispiel:', '•', 'Menschen', 'die', 'besonders', 'viel', 'für', 'ihre', 'Religion', 'gemacht', 'haben']","[0, 0, 1, 1, 0, 1, 1, 2, 2, 2, 1, 1]"
"['Zum', 'Beispiel:', '•', 'Menschen', 'die', 'für', 'ihre', 'Religion', 'gestorben', 'sind']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Zum', 'Beispiel:', '•', 'Menschen', 'die', 'besonders', 'viel', 'für', 'ihre', 'Mitmenschen', 'gemacht', 'haben']","[0, 0, 1, 1, 0, 1, 1, 2, 2, 2, 1, 1]"
"['Manche', 'Heilige', 'haben', 'einen', 'eigenen', 'Feier-tag.']","[0, 0, 0, 0, 0, 0]"
"['Bei', 'den', 'Christen', 'gibt', 'es', 'sehr', 'viele', 'Heilige.']","[0, 0, 0, 0, 0, 0, 0, 0]"
"['Mehr', 'Heilige,', '\\newline', 'als', 'es', 'Tage', 'im', 'Jahr', 'gibt.']","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Deshalb', 'gibt', 'es', 'den', 'Feier-tag', 'Allerheiligen.']","[0, 0, 0, 0, 0, 0]"
"['Dieser', 'Tag', 'ist', 'ein', 'Feier-tag', 'für', 'alle', 'Heiligen.']","[1, 1, 1, 0, 0, 2, 2, 2]"
"['Auch', 'für', 'die', 'Heiligen,', '\\newline', 'die', 'die', 'Menschen', 'noch', 'nicht', 'kennen.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Also', 'Heilige', 'die', 'nur', 'Gott', 'kennt.']","[0, 1, 2, 2, 2, 2]"
"['Allerheiligen', 'ist', 'ein', 'Tag', 'für', 'alle', 'Heiligen.']","[0, 0, 0, 0, 0, 0, 0]"
"['Im', '9.', 'Jahrhundert', 'hat', 'Papst', 'Gregor', 'IV.', 'gelebt.']","[0, 0, 0, 0, 0, 0, 0, 0]"
"['Er', 'hat', 'gesagt:', '\\newline', 'Der', '1.', 'November', 'soll', 'ein', 'Feier-tag', 'sein.']","[1, 1, 1, 0, 0, 2, 2, 2, 0, 2, 2]"
"['Immer', 'am', '1.', 'November', 'soll', 'Allerheiligen', 'gefeiert', 'werden.']","[1, 2, 2, 2, 1, 1, 1, 1]"
"['In', 'der', 'Nacht', 'vor', 'Allerheiligen', 'ist', 'Halloween.']","[0, 0, 0, 0, 0, 0, 0]"
"['Am', 'Tag', 'nach', 'Allerheiligen', 'ist', 'Allerseelen.']","[0, 0, 0, 0, 0, 0]"
"['Manche', 'Christen', 'gehen', 'an', 'Allerheiligen', 'auf', 'den', 'Friedhof.']","[0, 0, 0, 0, 0, 0, 0, 0]"
"['Sie', 'schmücken', 'dann', 'die', 'Gräber', 'ihrer', 'Verwandten.']","[0, 0, 0, 0, 0, 0, 0]"
"['Sie', 'legen', 'Blumen', 'auf', 'das', 'Grab.']","[0, 0, 0, 0, 0, 0]"
"['Oder', 'sie', 'zünden', 'eine', 'Kerze', 'an.']","[0, 0, 0, 0, 0, 0]"
"['In', 'manchen', 'Ländern', 'ist', 'Allerheiligen', 'ein', 'gesetzlicher', 'Feiertag.']","[0, 0, 0, 0, 0, 0, 0, 0]"
"['Das', 'heißt:', '\\newline', 'Die', 'Leute', 'müssen', 'nicht', 'zur', 'Arbeit', 'gehen.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
