model,train_data,features,MAE,MSE,macroF1,weightedF1,accuracy
Random Forest 75 most imp. feat. of each type,"['train', 'trial']","['bert', 'amr', 'additional', 'depTree']",0.291,0.344,0.331,0.711,0.733
Random Forest 5 overall most imp. feat.,"['train', 'trial']","['bert', 'amr', 'additional', 'depTree']",0.358,0.445,0.334,0.677,0.683
Random Forest 10 overall most imp. feat.,"['train', 'trial']","['bert', 'amr', 'additional', 'depTree']",0.303,0.332,0.345,0.699,0.709
Random Forest 25 overall most imp. feat.,"['train', 'trial']","['bert', 'amr', 'additional', 'depTree']",0.305,0.353,0.355,0.706,0.716
Random Forest 50 overall most imp. feat.,"['train', 'trial']","['bert', 'amr', 'additional', 'depTree']",0.274,0.308,0.382,0.73,0.743
Random Forest 75 overall most imp. feat.,"['train', 'trial']","['bert', 'amr', 'additional', 'depTree']",0.274,0.327,0.37,0.734,0.75
Random Forest 100 overall most imp. feat.,"['train', 'trial']","['bert', 'amr', 'additional', 'depTree']",0.272,0.315,0.378,0.735,0.75
Random Forest 150 overall most imp. feat.,"['train', 'trial']","['bert', 'amr', 'additional', 'depTree']",0.279,0.337,0.338,0.726,0.748
Random Forest 200 overall most imp. feat.,"['train', 'trial']","['bert', 'amr', 'additional', 'depTree']",0.276,0.334,0.347,0.727,0.75
Random Forest 250 overall most imp. feat.,"['train', 'trial']","['bert', 'amr', 'additional', 'depTree']",0.284,0.341,0.313,0.716,0.743
Random Forest 500 overall most imp. feat.,"['train', 'trial']","['bert', 'amr', 'additional', 'depTree']",0.262,0.315,0.334,0.736,0.762
SVM 5 most imp. feat. of each type,"['train', 'trial']","['bert', 'amr', 'additional', 'depTree']",0.334,0.406,0.274,0.66,0.7
SVM 15 most imp. feat. of each type,"['train', 'trial']","['bert', 'amr', 'additional', 'depTree']",0.329,0.397,0.273,0.659,0.702
SVM 25 most imp. feat. of each type,"['train', 'trial']","['bert', 'amr', 'additional', 'depTree']",0.305,0.368,0.288,0.685,0.724
SVM 35 most imp. feat. of each type,"['train', 'trial']","['bert', 'amr', 'additional', 'depTree']",0.305,0.377,0.278,0.687,0.728
SVM 45 most imp. feat. of each type,"['train', 'trial']","['bert', 'amr', 'additional', 'depTree']",0.293,0.365,0.296,0.701,0.74
SVM 55 most imp. feat. of each type,"['train', 'trial']","['bert', 'amr', 'additional', 'depTree']",0.298,0.37,0.293,0.695,0.736
SVM 65 most imp. feat. of each type,"['train', 'trial']","['bert', 'amr', 'additional', 'depTree']",0.296,0.377,0.284,0.699,0.743
SVM 75 most imp. feat. of each type,"['train', 'trial']","['bert', 'amr', 'additional', 'depTree']",0.286,0.363,0.303,0.712,0.75
SVM 5 overall most imp. feat.,"['train', 'trial']","['bert', 'amr', 'additional', 'depTree']",0.303,0.341,0.334,0.685,0.714
SVM 10 overall most imp. feat.,"['train', 'trial']","['bert', 'amr', 'additional', 'depTree']",0.291,0.329,0.357,0.698,0.726
SVM 25 overall most imp. feat.,"['train', 'trial']","['bert', 'amr', 'additional', 'depTree']",0.284,0.332,0.361,0.713,0.738
SVM 50 overall most imp. feat.,"['train', 'trial']","['bert', 'amr', 'additional', 'depTree']",0.305,0.373,0.309,0.692,0.726
SVM 75 overall most imp. feat.,"['train', 'trial']","['bert', 'amr', 'additional', 'depTree']",0.303,0.38,0.293,0.694,0.733
SVM 100 overall most imp. feat.,"['train', 'trial']","['bert', 'amr', 'additional', 'depTree']",0.305,0.377,0.29,0.688,0.728
SVM 150 overall most imp. feat.,"['train', 'trial']","['bert', 'amr', 'additional', 'depTree']",0.293,0.365,0.282,0.697,0.74
SVM 200 overall most imp. feat.,"['train', 'trial']","['bert', 'amr', 'additional', 'depTree']",0.284,0.356,0.287,0.706,0.75
SVM 250 overall most imp. feat.,"['train', 'trial']","['bert', 'amr', 'additional', 'depTree']",0.286,0.353,0.285,0.702,0.745
SVM 500 overall most imp. feat.,"['train', 'trial']","['bert', 'amr', 'additional', 'depTree']",0.296,0.363,0.294,0.697,0.736
MLP 5 overall most imp. feat.,"['train', 'trial']","['bert', 'amr', 'additional', 'depTree']",0.286,0.315,0.355,0.71,0.726
MLP 10 overall most imp. feat.,"['train', 'trial']","['bert', 'amr', 'additional', 'depTree']",0.274,0.308,0.358,0.723,0.74
MLP 25 overall most imp. feat.,"['train', 'trial']","['bert', 'amr', 'additional', 'depTree']",0.279,0.332,0.348,0.729,0.745
MLP 50 overall most imp. feat.,"['train', 'trial']","['bert', 'amr', 'additional', 'depTree']",0.293,0.356,0.407,0.734,0.736
MLP 75 overall most imp. feat.,"['train', 'trial']","['bert', 'amr', 'additional', 'depTree']",0.3,0.363,0.352,0.72,0.728
MLP 100 overall most imp. feat.,"['train', 'trial']","['bert', 'amr', 'additional', 'depTree']",0.317,0.404,0.335,0.709,0.724
MLP 150 overall most imp. feat.,"['train', 'trial']","['bert', 'amr', 'additional', 'depTree']",0.322,0.409,0.393,0.704,0.716
MLP 200 overall most imp. feat.,"['train', 'trial']","['bert', 'amr', 'additional', 'depTree']",0.329,0.411,0.41,0.699,0.707
MLP 250 overall most imp. feat.,"['train', 'trial']","['bert', 'amr', 'additional', 'depTree']",0.329,0.401,0.396,0.705,0.707
MLP 500 overall most imp. feat.,"['train', 'trial']","['bert', 'amr', 'additional', 'depTree']",0.325,0.416,0.34,0.71,0.719
